Prodotto Luxury (Target),💸 Budget Dupe (<15€),⚖️ Mid-Range (15-35€),✨ Premium Dupe (35€+)
Sol de Janeiro Bum Bum Cream,Treaclemoon Brazilian Love,Tree Hut Tropic Glow,Kopari Moisture Whipped
Baccarat Rouge 540 (Profumo),Zara Red Temptation,Ariana Grande Cloud,Mancera Instant Crush
Le Labo Santal 33,Zara Energetically New York,Maison Louis Marie No.04,Byredo Super Cedar
Tom Ford Lost Cherry,Zara Cherry Smoothie,Kayali Burning Cherry,Carolina Herrera Very Good Girl
Byredo Gypsy Water,Zara Waterlily Tea Dress,Tocca Colette,Jo Malone Wood Sage & Sea Salt
YSL Libre,Zara Golden Decade,Dossier Floral Lavender,Giorgio Armani My Way
Olaplex No. 7 Bonding Oil,Revolution Plex 7,L'Oréal Elvive Extraordinary,Kérastase Elixir Ultime
K18 Hair Mask,Elizavecca CER-100,L'Oréal Absolut Repair,Redken Acidic Bonding
Color Wow Dream Coat,Sleek'e Hair Silk'e,Garnier Fructis Glass Hair,Amika The Shield
Ouai Hair Oil,OGX Argan Oil of Morocco,Verb Ghost Oil,Moroccanoil Treatment
Gisou Honey Infused Hair Oil,Hask Monoi Coconut Oil,Shea Moisture Papaya & Neroli,Kerastase Blond Absolu Huile
Tata Harper Regenerating Cleanser,Acure Brightening Facial Scrub,Krave Matcha Hemp,Dermalogica Daily Microfoliant
